id,latitude,longitude,lap,navigation,vehicle_id,sample,datetime
13916692,-13.530398,-71.932199,2,106,SJ20,1060,2023-03-05 10:01:56
13916719,-13.5307314,-71.9309451,2,105,SJ20,1060,2023-03-05 10:02:08
13916740,-13.5310246,-71.9299643,2,107,SJ20,1060,2023-03-05 10:02:29
13916772,-13.5312896,-71.9290616,2,107,SJ20,1060,2023-03-05 10:02:42
13916819,-13.5315494,-71.9281269,2,104,SJ20,1060,2023-03-05 10:03:08
13916858,-13.5318537,-71.9269758,2,104,SJ20,1060,2023-03-05 10:03:22
13916866,-13.5322072,-71.9257454,2,104,SJ20,1060,2023-03-05 10:03:34
13916882,-13.5326418,-71.9242228,2,106,SJ20,1060,2023-03-05 10:03:46
13916909,-13.5330027,-71.9225983,2,94,SJ20,1060,2023-03-05 10:03:58
13916938,-13.5328828,-71.9214603,2,72,SJ20,1060,2023-03-05 10:04:11
13916988,-13.5327623,-71.920737,2,77,SJ20,1060,2023-03-05 10:04:40
13917017,-13.5325369,-71.9198413,2,75,SJ20,1060,2023-03-05 10:04:54
13917052,-13.5323828,-71.9189767,2,78,SJ20,1060,2023-03-05 10:05:15
13917077,-13.532144,-71.9178972,2,77,SJ20,1060,2023-03-05 10:05:27
13917095,-13.5318259,-71.9165784,2,73,SJ20,1060,2023-03-05 10:05:39
13917113,-13.5316645,-71.9152119,2,93,SJ20,1060,2023-03-05 10:05:51
13917135,-13.5319613,-71.9141824,2,113,SJ20,1060,2023-03-05 10:06:03
13917159,-13.532678,-71.9130989,2,125,SJ20,1060,2023-03-05 10:06:15
13917184,-13.5332633,-71.9122895,2,123,SJ20,1060,2023-03-05 10:06:27
13917259,-13.5336911,-71.9116499,2,124,SJ20,1060,2023-03-05 10:07:13
13917293,-13.5343457,-71.9106601,2,122,SJ20,1060,2023-03-05 10:07:25
13917332,-13.5351138,-71.9094875,2,122,SJ20,1060,2023-03-05 10:07:37
13917352,-13.5358677,-71.9082856,2,122,SJ20,1060,2023-03-05 10:07:49
13917367,-13.5366855,-71.9070964,2,126,SJ20,1060,2023-03-05 10:08:01
13917448,-13.5371561,-71.9063967,2,122,SJ20,1060,2023-03-05 10:08:45
13917468,-13.5377799,-71.9054272,2,123,SJ20,1060,2023-03-05 10:08:57
13917487,-13.5384667,-71.9043823,2,124,SJ20,1060,2023-03-05 10:09:09
13917592,-13.5389311,-71.9037418,2,126,SJ20,1060,2023-03-05 10:10:07
13917620,-13.5396299,-71.9027385,2,125,SJ20,1060,2023-03-05 10:10:19
13917647,-13.5404524,-71.901608,2,128,SJ20,1060,2023-03-05 10:10:31
13917664,-13.5409432,-71.9009319,2,124,SJ20,1060,2023-03-05 10:10:46
13917683,-13.5416749,-71.899903,2,127,SJ20,1060,2023-03-05 10:10:58
13917753,-13.5421797,-71.8991983,2,125,SJ20,1060,2023-03-05 10:11:41
13917780,-13.542853,-71.8983029,2,130,SJ20,1060,2023-03-05 10:11:53
13917847,-13.5433478,-71.8975815,2,124,SJ20,1060,2023-03-05 10:12:30
13917876,-13.5440677,-71.8966046,2,126,SJ20,1060,2023-03-05 10:12:42
13917926,-13.5445621,-71.8958483,2,112,SJ20,1060,2023-03-05 10:13:09
13917950,-13.5448936,-71.8951611,2,113,SJ20,1060,2023-03-05 10:13:23
13917977,-13.5452126,-71.8944119,2,111,SJ20,1060,2023-03-05 10:13:35
13917995,-13.5454669,-71.8936651,2,104,SJ20,1060,2023-03-05 10:13:47
13918028,-13.54569,-71.8927329,2,106,SJ20,1060,2023-03-05 10:13:59
13918047,-13.5459518,-71.8917277,2,104,SJ20,1060,2023-03-05 10:14:11
13918073,-13.5461612,-71.8907007,2,102,SJ20,1060,2023-03-05 10:14:23
13918110,-13.5460849,-71.8900178,2,16,SJ20,1060,2023-03-05 10:14:42
13918131,-13.5454868,-71.8897101,2,24,SJ20,1060,2023-03-05 10:14:57
13918175,-13.5447258,-71.8893395,2,32,SJ20,1060,2023-03-05 10:15:17
13918231,-13.543984,-71.8888806,2,43,SJ20,1060,2023-03-05 10:15:47
13918469,-13.5441821,-71.8882841,2,87,SJ20,1060,2023-03-05 10:18:01
13918576,-13.5444183,-71.8875478,2,109,SJ20,1060,2023-03-05 10:19:04
13918656,-13.5450295,-71.8874096,2,192,SJ20,1060,2023-03-05 10:19:48
13918691,-13.5457314,-71.8876068,2,194,SJ20,1060,2023-03-05 10:20:04
13918711,-13.5463851,-71.8878304,2,200,SJ20,1060,2023-03-05 10:20:16
13918769,-13.5468364,-71.8877052,2,100,SJ20,1060,2023-03-05 10:20:46
13918790,-13.546992,-71.8870571,2,102,SJ20,1060,2023-03-05 10:20:58
13918817,-13.5472097,-71.8862809,2,108,SJ20,1060,2023-03-05 10:21:10
13918847,-13.5474331,-71.8854243,2,104,SJ20,1060,2023-03-05 10:21:22
13918872,-13.5476232,-71.8846707,2,105,SJ20,1060,2023-03-05 10:21:47
13918892,-13.5478697,-71.8838458,2,107,SJ20,1060,2023-03-05 10:21:59
13918926,-13.5481144,-71.8829943,2,104,SJ20,1060,2023-03-05 10:22:11
13918951,-13.5483395,-71.8821009,2,105,SJ20,1060,2023-03-05 10:22:23
13918958,-13.5485955,-71.8811641,2,107,SJ20,1060,2023-03-05 10:22:35
13918991,-13.5487978,-71.8804544,2,104,SJ20,1060,2023-03-05 10:22:51
13919022,-13.5491024,-71.8794184,2,105,SJ20,1060,2023-03-05 10:23:03
13919068,-13.5493344,-71.8785317,2,105,SJ20,1060,2023-03-05 10:23:27
13919069,-13.5496175,-71.877532,2,106,SJ20,1060,2023-03-05 10:23:39
13919095,-13.5499871,-71.876358,2,108,SJ20,1060,2023-03-05 10:23:51
13919117,-13.5502895,-71.8752877,2,105,SJ20,1060,2023-03-05 10:24:03
13919247,-13.550514,-71.8744999,2,104,SJ20,1060,2023-03-05 10:25:14
13919289,-13.5507246,-71.8737353,2,105,SJ20,1060,2023-03-05 10:25:33
13919308,-13.5510369,-71.8725996,2,104,SJ20,1060,2023-03-05 10:25:45
13919330,-13.5513366,-71.8713696,2,103,SJ20,1060,2023-03-05 10:25:57
13919352,-13.5515464,-71.8704805,2,103,SJ20,1060,2023-03-05 10:26:12
13919382,-13.5517528,-71.8697199,2,103,SJ20,1060,2023-03-05 10:26:30
13919403,-13.5520615,-71.8684765,2,103,SJ20,1060,2023-03-05 10:26:42
13919428,-13.5523035,-71.8674893,2,103,SJ20,1060,2023-03-05 10:26:55
13919471,-13.5524814,-71.866739,2,104,SJ20,1060,2023-03-05 10:27:11
13919490,-13.5526944,-71.8658441,2,104,SJ20,1060,2023-03-05 10:27:23
